source_id,source_name,source_type,source_url,context_text,notes
jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب مهندس مدني,Manual seed because robots.txt disallowed automated scraping
jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب محاسب,Manual seed because robots.txt disallowed automated scraping
jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب سكرتيرة,Manual seed because robots.txt disallowed automated scraping
jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب صيدلي,Manual seed because robots.txt disallowed automated scraping
jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب مصمم جرافيك,Manual seed because robots.txt disallowed automated scraping
jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب مندوب مبيعات,Manual seed because robots.txt disallowed automated scraping
jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب سائق خاص,Manual seed because robots.txt disallowed automated scraping
jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب فرد أمن,Manual seed because robots.txt disallowed automated scraping
jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب مدخل بيانات,Manual seed because robots.txt disallowed automated scraping
jobs_arab_cairo_manual,Jobs Arab Cairo,manual_visible_seed,https://www.jobs-arab.com/eg/job-location/%d8%a7%d9%84%d9%82%d8%a7%d9%87%d8%b1%d9%87/,مطلوب محامي,Manual seed because robots.txt disallowed automated scraping
