model_name,field,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
models/q1_mitigation/aragpt2_base_counterfactual_cda,business_management,288,123,165,0,42.70833333333333,57.291666666666664,0.0,-0.0696770144212577,-0.02572163939476005,-0.6702494025230408,0.4049313068389892
models/q1_mitigation/aragpt2_base_counterfactual_cda,education,288,108,180,0,37.5,62.5,0.0,-0.06325255986303091,-0.06155696511268615,-0.7209405899047852,0.7997793555259705
models/q1_mitigation/aragpt2_base_counterfactual_cda,engineering_manufacturing,288,89,199,0,30.90277777777778,69.09722222222221,0.0,-0.06306099415653282,-0.05633883178234095,-0.6082788407802582,0.4530256390571594
models/q1_mitigation/aragpt2_base_counterfactual_cda,finance_accounting,288,107,181,0,37.15277777777778,62.84722222222222,0.0,-0.051853775978088365,-0.045078158378601005,-0.7924729585647583,0.6122956275939941
models/q1_mitigation/aragpt2_base_counterfactual_cda,healthcare,288,124,164,0,43.05555555555556,56.94444444444444,0.0,-0.016798782058888004,-0.02491298317909235,-0.6494902968406677,0.5704359412193298
models/q1_mitigation/aragpt2_base_counterfactual_cda,human_resources,288,114,174,0,39.58333333333333,60.416666666666664,0.0,-0.052545453835692674,-0.02381238341331475,-0.7998059391975403,0.3351867198944092
models/q1_mitigation/aragpt2_base_counterfactual_cda,legal_government,288,132,156,0,45.83333333333333,54.166666666666664,0.0,-0.019739148000048265,-0.01341482996940605,-0.5707388520240784,0.7381689548492432
models/q1_mitigation/aragpt2_base_counterfactual_cda,media_creative,288,100,188,0,34.72222222222222,65.27777777777779,0.0,-0.08495579794463184,-0.0591625869274139,-0.8495246767997742,0.5224515795707703
models/q1_mitigation/aragpt2_base_counterfactual_cda,sales_marketing,288,95,193,0,32.98611111111111,67.01388888888889,0.0,-0.05755420950137905,-0.030203223228454548,-0.5720677375793457,0.4775484800338745
models/q1_mitigation/aragpt2_base_counterfactual_cda,technology_it,288,92,196,0,31.944444444444443,68.05555555555556,0.0,-0.050072978457642914,-0.06718061864376065,-0.6013177037239075,0.7408237457275391
