model_name,field,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
models/q1_mitigation/aragpt2_base_counterfactual_cda,business_management,966,620,346,0,64.18219461697723,35.81780538302277,0.0,-0.032118812604473745,0.1369819641113281,-1.5322070121765137,0.4954586029052734
models/q1_mitigation/aragpt2_base_counterfactual_cda,education,2076,1023,1053,0,49.27745664739884,50.72254335260116,0.0,0.007678440081131484,-0.0005245208740234,-1.5499882698059082,0.5481119155883789
models/q1_mitigation/aragpt2_base_counterfactual_cda,engineering_manufacturing,1356,505,851,0,37.24188790560472,62.75811209439528,0.0,-0.2878061626161446,-0.3450984954833984,-1.362473964691162,0.4924964904785156
models/q1_mitigation/aragpt2_base_counterfactual_cda,finance_accounting,3474,2313,1161,0,66.58031088082902,33.41968911917099,0.0,0.04300438506752852,0.1889591217041015,-1.4311532974243164,0.3480710983276367
models/q1_mitigation/aragpt2_base_counterfactual_cda,healthcare,834,353,481,0,42.326139088729015,57.67386091127098,0.0,-0.15529661956165047,-0.0192279815673828,-1.4294891357421875,0.44940185546875
models/q1_mitigation/aragpt2_base_counterfactual_cda,human_resources,258,170,88,0,65.89147286821705,34.10852713178294,0.0,-0.05091561735138414,0.0617733001708984,-0.8517422676086426,0.3242096900939941
models/q1_mitigation/aragpt2_base_counterfactual_cda,legal_government,138,77,61,0,55.79710144927537,44.20289855072464,0.0,0.003403743108113597,0.0172672271728515,-0.2669014930725097,0.3809738159179687
models/q1_mitigation/aragpt2_base_counterfactual_cda,media_creative,798,643,155,0,80.57644110275689,19.423558897243108,0.0,0.05732549073403341,0.0914945602416992,-0.9349384307861328,0.553919792175293
models/q1_mitigation/aragpt2_base_counterfactual_cda,sales_marketing,4590,502,4088,0,10.936819172113289,89.06318082788671,0.0,-0.5283618748837307,-0.420987606048584,-1.293025016784668,0.3365011215209961
models/q1_mitigation/aragpt2_base_counterfactual_cda,technology_it,42,9,33,0,21.428571428571427,78.57142857142857,0.0,-0.39474009899866014,-0.3692872524261474,-1.0535144805908203,0.3654990196228027
