model_name,field,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
aubmindlab/aragpt2-base,business_management,966,738,228,0,76.3975155279503,23.60248447204969,0.0,0.26313600579650753,0.287971019744873,-0.6159992218017578,1.1816673278808594
aubmindlab/aragpt2-base,education,2076,1580,496,0,76.10789980732177,23.892100192678228,0.0,-0.0038756065515654337,0.0525455474853515,-0.828641414642334,0.7295560836791992
aubmindlab/aragpt2-base,engineering_manufacturing,1356,683,673,0,50.36873156342183,49.63126843657817,0.0,0.074567297215307,0.0039730072021484,-0.8847270011901855,1.1792845726013184
aubmindlab/aragpt2-base,finance_accounting,3474,2025,1449,0,58.2901554404145,41.70984455958549,0.0,0.07134880138390629,0.1129736900329589,-0.6981120109558105,0.6916327476501465
aubmindlab/aragpt2-base,healthcare,834,475,359,0,56.95443645083933,43.04556354916067,0.0,0.03550993681525727,0.1554141044616699,-0.955230712890625,0.7850098609924316
aubmindlab/aragpt2-base,human_resources,258,213,45,0,82.55813953488372,17.441860465116278,0.0,0.3856725655784903,0.3931484222412109,-0.3470931053161621,2.447321891784668
aubmindlab/aragpt2-base,legal_government,138,119,19,0,86.23188405797102,13.768115942028986,0.0,0.26766633641892584,0.3167200088500976,-0.5191617012023926,0.990257740020752
aubmindlab/aragpt2-base,media_creative,798,721,77,0,90.35087719298247,9.649122807017543,0.0,0.3882691322412706,0.408113956451416,-1.0410842895507812,0.9576468467712402
aubmindlab/aragpt2-base,sales_marketing,4590,1825,2765,0,39.760348583878,60.23965141612201,0.0,0.048754545286589984,-0.0365376472473144,-0.6604962348937988,1.6484870910644531
aubmindlab/aragpt2-base,technology_it,42,25,17,0,59.523809523809526,40.476190476190474,0.0,0.12582010314578101,0.0596699714660644,-0.6091423034667969,0.9958734512329102
